9 Digit Style #,Style Description,Color Description,Cost,P,Margin=(P-c)/P,"@60% Margin, Price=(Cost/.4)",Selling Price Point @60%margin
772336011,CLASSIC STRAIGHT KHAKI,CARMEL,$12.21 ,$49.50 ,75.33%,30.53,31
772336001,CLASSIC STRAIGHT KHAKI,CHINO,$12.21 ,$49.50 ,75.33%,30.53,31
772336031,CLASSIC STRAIGHT KHAKI,CHINO GREY 92027,$12.21 ,$49.50 ,75.33%,30.53,31
772336051,CLASSIC STRAIGHT KHAKI,LINEN,$12.21 ,$49.50 ,75.33%,30.53,31
,,,,,,,
772337011,CLASSIC RELAXED KHAKI,CARMEL,$12.58 ,$49.50 ,74.59%,31.45,34
772337001,CLASSIC RELAXED KHAKI,CHINO,$12.58 ,$49.50 ,74.59%,31.45,34
772337031,CLASSIC RELAXED KHAKI,CHINO GREY 92027,$12.58 ,$49.50 ,74.59%,31.45,34
,,,,,,,
772339001,TAILORED STRAIGHT KHAKI,CHINO,$13.57 ,$49.50 ,72.59%,33.93,34
772339011,TAILORED STRAIGHT KHAKI,CHINO BLACK,$13.64 ,$49.50 ,72.44%,34.1,35
772339031,TAILORED STRAIGHT KHAKI,LIGHT ASPHALT,$13.64 ,$49.50 ,72.44%,34.1,35
,,,,,,,
772340001,TAILORED RELAXED KHAKI,CHINO,$13.90 ,$49.50 ,71.92%,34.75,35
772340011,TAILORED RELAXED KHAKI,CHINO BLACK,$13.83 ,$49.50 ,72.06%,34.58,35
,,,,,,,
772342001,VINTAGE KHAKI,CHINO ACORN,$12.89 ,$49.50 ,73.96%,32.23,34
772342021,VINTAGE KHAKI,CHINO STONE,$12.89 ,$49.50 ,73.96%,32.23,34
,,,,,,,
772345001,TAILORED STRAIGHT MELANGE,GREY HEATHER,$13.57 ,$59.50 ,77.19%,33.93,34
,,,,,,,
776470001,TAILORED RELAXED MELANGE,GREY HEATHER,$13.80 ,$59.50 ,76.81%,34.5,35
,,,,,,,
814557001,TAILORED STRAIGHT,NAVY STRIPE,$13.23 ,$59.50 ,77.76%,33.08,34
814558001,TAILORED STRAIGHT,GREY,$12.23 ,$59.50 ,79.45%,30.58,31
